year_month,precip_mm_mensual
1991-01,30.7
1991-02,53.0
1991-03,207.9
1991-04,205.4
1991-05,119.0
1991-06,114.4
1991-07,87.9
1991-08,101.2
1991-09,85.9
1991-10,139.9
1991-11,185.0
1991-12,87.2
1992-01,66.3
1992-02,40.4
1992-03,99.5
1992-04,156.6
1992-05,149.0
1992-06,88.0
1992-07,104.1
1992-08,98.0
1992-09,85.9
1992-10,131.0
1992-11,275.5
1992-12,136.7
1993-01,176.1
1993-02,102.1
1993-03,152.0
1993-04,263.9
1993-05,195.4
1993-06,100.6
1993-07,95.6
1993-08,97.9
1993-09,110.0
1993-10,166.2
1993-11,299.4
1993-12,98.6
1994-01,62.6
1994-02,80.3
1994-03,213.6
1994-04,223.3
1994-05,155.3
1994-06,132.8
1994-07,112.7
1994-08,112.4
1994-09,96.4
1994-10,207.1
1994-11,149.2
1994-12,82.1
1995-01,21.0
1995-02,49.6
1995-03,109.2
1995-04,237.4
1995-05,122.4
1995-06,157.2
1995-07,110.3
1995-08,121.9
1995-09,69.9
1995-10,185.8
1995-11,145.4
1995-12,103.6
1996-01,61.1
1996-02,158.3
1996-03,94.7
1996-04,134.2
1996-05,154.4
1996-06,132.6
1996-07,111.2
1996-08,151.5
1996-09,55.1
1996-10,220.4
1996-11,166.9
1996-12,101.3
1997-01,62.4
1997-02,50.0
1997-03,125.7
1997-04,145.2
1997-05,136.0
1997-06,176.7
1997-07,55.3
1997-08,65.1
1997-09,61.0
1997-10,137.8
1997-11,179.9
1997-12,36.2
1998-01,25.0
1998-02,88.5
1998-03,113.8
1998-04,209.9
1998-05,206.6
1998-06,109.4
1998-07,152.5
1998-08,135.5
1998-09,126.0
1998-10,208.0
1998-11,231.5
1998-12,161.8
1999-01,97.0
1999-02,170.8
1999-03,106.5
1999-04,215.2
1999-05,135.8
1999-06,140.8
1999-07,86.8
1999-08,143.4
1999-09,161.5
1999-10,192.4
1999-11,237.1
1999-12,143.5
2000-01,50.2
2000-02,91.3
2000-03,133.6
2000-04,185.0
2000-05,205.1
2000-06,144.1
2000-07,93.0
2000-08,129.6
2000-09,138.6
2000-10,168.4
2000-11,189.5
2000-12,86.5
2001-01,37.5
2001-02,65.3
2001-03,132.4
2001-04,95.7
2001-05,179.8
2001-06,97.3
2001-07,80.3
2001-08,83.9
2001-09,118.8
2001-10,168.7
2001-11,201.2
2001-12,127.3
2002-01,32.8
2002-02,44.1
2002-03,129.4
2002-04,297.6
2002-05,174.0
2002-06,153.6
2002-07,79.8
2002-08,81.2
2002-09,97.8
2002-10,172.2
2002-11,120.7
2002-12,111.1
2003-01,36.8
2003-02,63.3
2003-03,167.1
2003-04,235.6
2003-05,99.2
2003-06,184.0
2003-07,75.6
2003-08,66.4
2003-09,103.4
2003-10,210.1
2003-11,180.9
2003-12,118.0
2004-01,52.6
2004-02,87.3
2004-03,84.0
2004-04,239.7
2004-05,177.7
2004-06,113.8
2004-07,120.0
2004-08,74.5
2004-09,102.2
2004-10,235.5
2004-11,298.2
2004-12,94.2
2005-01,61.2
2005-02,79.3
2005-03,94.7
2005-04,176.3
2005-05,200.8
2005-06,67.0
2005-07,76.9
2005-08,94.1
2005-09,95.3
2005-10,253.3
2005-11,230.3
2005-12,85.3
2006-01,78.4
2006-02,61.9
2006-03,188.9
2006-04,289.2
2006-05,134.0
2006-06,159.4
2006-07,88.3
2006-08,110.7
2006-09,87.4
2006-10,221.0
2006-11,223.1
2006-12,104.8
2007-01,30.6
2007-02,37.3
2007-03,111.9
2007-04,245.0
2007-05,179.4
2007-06,117.2
2007-07,81.7
2007-08,151.3
2007-09,57.4
2007-10,255.2
2007-11,143.4
2007-12,143.7
2008-01,59.6
2008-02,60.3
2008-03,118.1
2008-04,183.7
2008-05,213.7
2008-06,146.2
2008-07,135.7
2008-08,171.7
2008-09,85.2
2008-10,209.4
2008-11,341.1
2008-12,92.2
2009-01,105.0
2009-02,78.0
2009-03,209.6
2009-04,205.9
2009-05,117.5
2009-06,161.3
2009-07,105.8
2009-08,111.4
2009-09,58.3
2009-10,179.5
2009-11,190.4
2009-12,65.7
2010-01,34.1
2010-02,67.7
2010-03,113.4
2010-04,288.9
2010-05,165.3
2010-06,226.6
2010-07,215.8
2010-08,119.5
2010-09,153.7
2010-10,226.2
2010-11,339.3
2010-12,200.5
2011-01,39.3
2011-02,163.6
2011-03,208.5
2011-04,415.0
2011-05,216.7
2011-06,138.3
2011-07,125.6
2011-08,109.0
2011-09,110.9
2011-10,309.4
2011-11,309.0
2011-12,175.1
2012-01,97.4
2012-02,74.4
2012-03,176.1
2012-04,232.3
2012-05,87.7
2012-06,80.8
2012-07,83.6
2012-08,119.8
2012-09,66.5
2012-10,191.8
2012-11,155.3
2012-12,119.1
2013-01,49.2
2013-02,107.6
2013-03,157.9
2013-04,187.7
2013-05,182.5
2013-06,115.4
2013-07,81.8
2013-08,121.7
2013-09,68.0
2013-10,134.4
2013-11,190.6
2013-12,104.0
2014-01,42.4
2014-02,74.1
2014-03,182.5
2014-04,183.3
2014-05,157.7
2014-06,150.3
2014-07,88.0
2014-08,145.3
2014-09,101.5
2014-10,188.2
2014-11,151.6
2014-12,87.2
2015-01,94.8
2015-02,112.9
2015-03,119.1
2015-04,173.4
2015-05,95.9
2015-06,88.8
2015-07,67.3
2015-08,85.9
2015-09,54.8
2015-10,187.4
2015-11,160.8
2015-12,74.9
2016-01,59.8
2016-02,69.3
2016-03,121.9
2016-04,242.1
2016-05,127.7
2016-06,70.7
2016-07,96.3
2016-08,116.0
2016-09,92.6
2016-10,177.9
2016-11,257.8
2016-12,128.6
2017-01,65.0
2017-02,56.0
2017-03,271.2
2017-04,185.9
2017-05,229.8
2017-06,129.8
2017-07,62.4
2017-08,151.5
2017-09,74.5
2017-10,163.0
2017-11,213.7
2017-12,89.3
2018-01,86.8
2018-02,40.6
2018-03,97.7
2018-04,207.3
2018-05,137.9
2018-06,112.8
2018-07,82.1
2018-08,95.4
2018-09,69.7
2018-10,252.6
2018-11,187.1
2018-12,49.3
2019-01,50.9
2019-02,54.2
2019-03,153.9
2019-04,133.8
2019-05,167.0
2019-06,104.8
2019-07,53.3
2019-08,43.3
2019-09,96.9
2019-10,183.4
2019-11,300.6
2019-12,133.1
2020-01,51.8
2020-02,51.4
2020-03,122.5
2020-04,148.8
2020-05,138.8
2020-06,199.5
2020-07,169.4
2020-08,148.9
2020-09,79.5
2020-10,132.6
2020-11,226.9
2020-12,102.3
