year_month,precip_mm_mensual
2006-10,189.1
2006-11,205.1
2006-12,114.8
2007-01,58.2
2007-02,30.3
2007-03,156.8
2007-04,223.2
2007-05,144.5
2007-06,66.3
2007-07,81.3
2007-08,85.7
2007-09,75.1
2007-10,239.6
2007-11,146.7
2007-12,123.9
2008-01,63.0
2008-02,70.5
2008-03,126.5
2008-04,157.2
2008-05,233.2
2008-06,100.2
2008-07,103.5
2008-08,104.6
2008-09,127.8
2008-10,177.9
2008-11,222.2
2008-12,87.4
2009-01,72.5
2009-02,88.6
2009-03,169.9
2009-04,132.6
2009-05,144.5
2009-06,103.3
2009-07,55.4
2009-08,62.0
2009-09,81.8
2009-10,172.3
2009-11,113.1
2009-12,65.1
2010-01,44.1
2010-02,46.4
2010-03,78.0
2010-04,231.4
2010-05,192.2
2010-06,90.9
2010-07,155.3
2010-08,73.3
2010-09,133.2
2010-10,115.3
2010-11,234.7
2010-12,136.6
2011-01,76.3
2011-02,162.3
2011-03,210.2
2011-04,367.5
2011-05,228.9
2011-06,117.8
2011-07,82.0
2011-08,88.5
2011-09,93.7
2011-10,224.2
2011-11,291.1
2011-12,129.3
2012-01,84.0
2012-02,51.6
2012-03,145.8
2012-04,262.9
2012-05,127.3
2012-06,78.8
2012-07,81.2
2012-08,70.7
2012-09,80.4
2012-10,181.9
2012-11,134.7
2012-12,52.8
2013-01,41.8
2013-02,101.2
2013-03,136.6
2013-04,223.7
2013-05,202.3
2013-06,76.8
2013-07,64.6
2013-08,95.1
2013-09,111.4
2013-10,149.4
2013-11,185.1
2013-12,134.5
2014-01,91.2
2014-02,149.7
2014-03,106.8
2014-04,90.1
2014-05,150.7
2014-06,54.8
2014-07,37.0
2014-08,77.4
2014-09,180.3
2014-10,184.4
2014-11,173.3
2014-12,101.6
2015-01,74.6
2015-02,52.7
2015-03,114.5
2015-04,119.6
2015-05,120.4
2015-06,66.9
2015-07,86.7
2015-08,75.2
2015-09,159.0
2015-10,147.1
2015-11,211.7
2015-12,51.0
2016-01,53.5
2016-02,58.7
2016-03,130.1
2016-04,168.7
2016-05,185.6
2016-06,52.9
2016-07,63.0
2016-08,54.7
2016-09,121.0
2016-10,146.8
2016-11,201.1
2016-12,99.3
2017-01,80.6
2017-02,55.3
2017-03,176.0
2017-04,186.7
2017-05,187.4
2017-06,106.5
2017-07,60.0
2017-08,73.2
2017-09,128.1
2017-10,162.5
2017-11,215.3
2017-12,61.8
2018-01,79.9
2018-02,71.2
2018-03,147.8
2018-04,184.6
2018-05,218.3
2018-06,64.5
2018-07,66.0
2018-08,50.1
2018-09,116.7
2018-10,226.5
2018-11,182.5
2018-12,33.5
2019-01,45.0
2019-02,95.2
2019-03,155.7
2019-04,189.3
2019-05,194.9
2019-06,83.8
2019-07,60.8
2019-08,35.1
2019-09,112.3
2019-10,163.1
2019-11,207.2
2019-12,65.8
2020-01,36.4
2020-02,55.5
2020-03,87.6
2020-04,117.9
2020-05,131.3
2020-06,80.5
2020-07,84.6
2020-08,76.4
2020-09,122.9
2020-10,118.8
2020-11,227.1
2020-12,79.7
