year_month,precip_mm_mensual
1991-01,22.1
1991-02,55.8
1991-03,167.3
1991-04,158.7
1991-05,205.9
1991-06,76.0
1991-07,69.5
1991-08,41.4
1991-09,111.0
1991-10,117.5
1991-11,212.2
1991-12,81.8
1992-01,64.1
1992-02,67.7
1992-03,67.0
1992-04,123.2
1992-05,132.3
1992-06,49.2
1992-07,64.1
1992-08,69.4
1992-09,135.4
1992-10,98.0
1992-11,208.6
1992-12,115.4
1993-01,85.5
1993-02,58.6
1993-03,143.9
1993-04,190.4
1993-05,241.7
1993-06,52.6
1993-07,56.8
1993-08,59.6
1993-09,163.7
1993-10,104.5
1993-11,224.3
1993-12,84.0
1994-01,86.0
1994-02,138.7
1994-03,163.1
1994-04,220.8
1994-05,171.5
1994-06,60.7
1994-07,72.6
1994-08,61.9
1994-09,133.5
1994-10,204.8
1994-11,236.0
1994-12,56.9
1995-01,43.6
1995-02,63.4
1995-03,153.1
1995-04,167.0
1995-05,144.1
1995-06,92.6
1995-07,82.9
1995-08,113.7
1995-09,117.9
1995-10,180.2
1995-11,170.3
1995-12,92.9
1996-01,87.2
1996-02,94.9
1996-03,139.5
1996-04,145.3
1996-05,197.0
1996-06,134.3
1996-07,97.0
1996-08,78.8
1996-09,96.5
1996-10,219.6
1996-11,131.9
1996-12,105.9
1997-01,71.4
1997-02,62.4
1997-03,94.3
1997-04,188.5
1997-05,145.8
1997-06,133.8
1997-07,41.4
1997-08,34.2
1997-09,108.0
1997-10,125.8
1997-11,182.6
1997-12,40.0
1998-01,43.9
1998-02,70.3
1998-03,151.2
1998-04,177.1
1998-05,216.7
1998-06,64.9
1998-07,91.4
1998-08,85.2
1998-09,115.5
1998-10,212.3
1998-11,200.1
1998-12,141.7
1999-01,80.2
1999-02,141.1
1999-03,158.7
1999-04,164.2
1999-05,133.0
1999-06,134.6
1999-07,68.4
1999-08,77.1
1999-09,211.5
1999-10,239.8
1999-11,181.1
1999-12,107.1
2000-01,50.4
2000-02,124.8
2000-03,142.4
2000-04,131.0
2000-05,143.6
2000-06,90.3
2000-07,96.1
2000-08,63.2
2000-09,176.9
2000-10,159.8
2000-11,114.2
2000-12,68.7
2001-01,56.5
2001-02,63.9
2001-03,135.2
2001-04,76.2
2001-05,175.1
2001-06,71.2
2001-07,55.2
2001-08,47.4
2001-09,179.8
2001-10,179.5
2001-11,142.0
2001-12,128.9
2002-01,34.5
2002-02,65.6
2002-03,187.0
2002-04,248.5
2002-05,178.4
2002-06,64.6
2002-07,75.8
2002-08,61.2
2002-09,108.8
2002-10,181.2
2002-11,88.1
2002-12,122.9
2003-01,28.6
2003-02,92.9
2003-03,95.7
2003-04,211.8
2003-05,119.9
2003-06,101.2
2003-07,66.4
2003-08,64.9
2003-09,129.5
2003-10,180.1
2003-11,203.0
2003-12,90.0
2004-01,58.5
2004-02,59.1
2004-03,105.1
2004-04,181.0
2004-05,250.6
2004-06,57.5
2004-07,89.2
2004-08,46.6
2004-09,153.7
2004-10,230.8
2004-11,224.9
2004-12,73.9
2005-01,62.8
2005-02,79.6
2005-03,76.0
2005-04,160.6
2005-05,230.6
2005-06,68.3
2005-07,79.6
2005-08,59.1
2005-09,137.8
2005-10,216.4
2005-11,169.8
2005-12,60.0
2006-01,70.4
2006-02,55.2
2006-03,195.9
2006-04,253.3
2006-05,246.2
2006-06,106.4
2006-07,55.3
2006-08,51.9
2006-09,86.6
